  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 63-412 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0896   0.02632   0.01712  -0.0154   0.9829   1.0000
   1.000   0.0562   0.02955   0.01968  -0.0312   0.9461   1.0000
   2.000   0.1934   0.03347   0.02323  -0.0431   0.9094   1.0000
   3.000   0.3073   0.03759   0.02727  -0.0500   0.8701   1.0000
   4.000   0.4193   0.04219   0.03204  -0.0557   0.8258   1.0000
   6.000   0.6505   0.05056   0.04156  -0.0622   0.6999   1.0000
   7.000   0.9637   0.03031   0.02329  -0.0574   0.5578   1.0000
   8.000   0.9738   0.03386   0.02378  -0.0352   0.1842   1.0000
   9.000   1.1200   0.04582   0.03553  -0.0381   0.1176   1.0000
  10.000   1.1772   0.05964   0.05093  -0.0329   0.1065   1.0000
  11.000   1.1127   0.07628   0.06928  -0.0225   0.1116   1.0000
  12.000   1.0225   0.09901   0.09257  -0.0249   0.1178   1.0000
  13.000   0.6611   0.16136   0.15534  -0.0670   0.2795   1.0000
  14.000   0.6630   0.17320   0.16728  -0.0721   0.2551   1.0000
  15.000   0.6777   0.18555   0.17975  -0.0770   0.2255   1.0000
  16.000   0.7031   0.20030   0.19461  -0.0818   0.2024   1.0000
  17.000   0.7166   0.21211   0.20655  -0.0877   0.1771   1.0000
  18.000   0.7404   0.22805   0.22259  -0.0932   0.1599   1.0000
  19.000   0.7463   0.23910   0.23373  -0.1009   0.1420   1.0000
  20.000   0.7634   0.25363   0.24839  -0.1076   0.1276   1.0000
  21.000   0.7806   0.26865   0.26352  -0.1142   0.1142   1.0000
  22.000   0.8008   0.28529   0.28030  -0.1203   0.1035   1.0000
  23.000   0.8296   0.30678   0.30191  -0.1252   0.0915   1.0000
  24.000   0.8291   0.31647   0.31173  -0.1346   0.0827   1.0000
  25.000   0.8454   0.33448   0.32985  -0.1409   0.0772   1.0000
