  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3262   0.11569   0.11043  -0.0394   1.0000   0.1089
  -9.000  -0.3279   0.10486   0.09983  -0.0377   1.0000   0.1186
  -8.000  -0.3236   0.09582   0.09151  -0.0281   1.0000   0.1298
  -7.000  -0.3921   0.08983   0.08585  -0.0196   1.0000   0.1396
  -6.000  -0.4635   0.07986   0.07573  -0.0217   1.0000   0.1472
  -5.000  -0.3417   0.05996   0.05527  -0.0531   0.9711   0.1920
  -4.000  -0.1682   0.02906   0.02063  -0.0805   0.9492   0.1178
  -3.000  -0.0089   0.02513   0.01613  -0.0902   0.9196   0.1659
  -2.000   0.1459   0.02253   0.01378  -0.0982   0.8880   0.2757
  -1.000   0.3095   0.01830   0.01200  -0.1046   0.8618   1.0000
   0.000   0.4377   0.01791   0.01080  -0.1064   0.8207   1.0000
   1.000   0.5639   0.01746   0.00984  -0.1072   0.7817   1.0000
   2.000   0.6735   0.01785   0.00992  -0.1056   0.7382   1.0000
   3.000   0.7868   0.01838   0.01019  -0.1048   0.6996   1.0000
   4.000   0.8880   0.01965   0.01143  -0.1026   0.6589   1.0000
   5.000   0.9937   0.02083   0.01262  -0.1009   0.6208   1.0000
   6.000   1.0931   0.02226   0.01423  -0.0982   0.5796   1.0000
   7.000   1.1919   0.02325   0.01536  -0.0949   0.5314   1.0000
   8.000   1.2855   0.02364   0.01579  -0.0902   0.4715   1.0000
   9.000   1.3516   0.02442   0.01690  -0.0815   0.3979   1.0000
  10.000   1.3735   0.02661   0.01907  -0.0668   0.2910   1.0000
  11.000   1.3403   0.03448   0.02609  -0.0499   0.1709   1.0000
  12.000   1.3367   0.04372   0.03494  -0.0405   0.1164   1.0000
  13.000   1.3803   0.05129   0.04234  -0.0347   0.0882   1.0000
  14.000   1.4270   0.06029   0.05188  -0.0301   0.0730   1.0000
  15.000   1.4487   0.07217   0.06438  -0.0261   0.0648   1.0000
  16.000   1.3728   0.09103   0.08450  -0.0256   0.0629   1.0000
  17.000   1.2627   0.12048   0.11500  -0.0378   0.0637   1.0000
  19.000   0.7246   0.20837   0.20365  -0.0705   0.1236   1.0000
  20.000   0.7263   0.21960   0.21496  -0.0752   0.1092   1.0000
  21.000   0.7398   0.23193   0.22737  -0.0785   0.0983   1.0000
  22.000   0.7644   0.24665   0.24220  -0.0807   0.0871   1.0000
  23.000   0.7567   0.25509   0.25070  -0.0871   0.0768   1.0000
  24.000   0.7566   0.26737   0.26305  -0.0932   0.0695   1.0000
  25.000   0.7652   0.27997   0.27572  -0.0976   0.0633   1.0000
  27.000   0.7801   0.30510   0.30104  -0.1071   0.0507   1.0000
  28.000   0.7899   0.31835   0.31438  -0.1110   0.0472   1.0000
  29.000   0.7943   0.33059   0.32672  -0.1163   0.0416   1.0000
  30.000   0.7990   0.34397   0.34019  -0.1212   0.0388   1.0000
